iter	Passed	Remaining
0	50	50248
1	51	25494
2	51	17192
3	52	13016
4	52	10521
5	53	8861
6	54	7673
7	54	6777
8	55	6078
9	55	5522
10	56	5069
11	57	4695
12	57	4378
13	58	4098
14	58	3857
15	59	3648
16	59	3462
17	60	3298
18	61	3150
19	61	3016
20	62	2896
21	62	2788
22	63	2686
23	63	2591
24	64	2508
25	64	2430
26	65	2357
27	66	2294
28	66	2233
29	67	2174
30	67	2120
31	68	2072
32	69	2023
33	69	1976
34	70	1932
35	70	1894
36	71	1856
37	71	1819
38	72	1783
39	72	1749
40	73	1717
41	73	1687
42	74	1658
43	74	1629
44	75	1600
45	75	1573
46	76	1548
47	76	1524
48	77	1501
49	77	1480
50	78	1458
51	78	1438
52	79	1418
53	79	1399
54	80	1380
55	80	1362
56	81	1345
57	81	1329
58	82	1312
59	82	1295
60	83	1279
61	83	1264
62	84	1249
63	84	1236
64	84	1222
65	85	1209
66	85	1196
67	86	1184
68	87	1179
69	87	1166
70	88	1154
71	88	1143
72	89	1132
73	89	1120
74	89	1108
75	90	1097
76	90	1086
77	91	1075
78	91	1065
79	91	1055
80	92	1045
81	92	1035
82	92	1024
83	93	1015
84	93	1006
85	93	997
86	94	989
87	94	980
88	94	972
89	95	963
90	95	957
91	96	949
92	96	941
93	96	933
94	97	925
95	97	916
96	97	909
97	97	901
98	98	893
99	98	886
100	98	879
101	99	872
102	99	865
103	99	858
104	99	851
105	100	845
106	100	838
107	100	832
108	101	826
109	101	820
110	101	814
111	101	808
112	102	802
113	102	796
114	102	791
115	103	785
116	103	779
117	103	774
118	103	768
119	104	762
120	104	757
121	104	751
122	104	745
123	104	740
124	105	735
125	105	730
126	105	724
127	105	719
128	105	715
129	106	710
130	106	705
131	106	700
132	106	696
133	106	691
134	107	686
135	107	682
136	107	678
137	107	673
138	108	669
139	108	665
140	108	660
141	108	656
142	108	652
143	109	648
144	109	644
145	109	640
146	109	636
147	109	632
148	110	629
149	110	625
150	110	621
151	110	618
152	110	614
153	111	610
154	111	607
155	111	603
156	111	600
157	112	597
158	112	593
159	112	590
160	112	586
161	112	583
162	113	580
163	113	577
164	113	574
165	113	571
166	113	568
167	114	565
168	114	562
169	114	559
170	114	556
171	114	553
172	115	550
173	115	547
174	115	545
175	115	542
176	116	539
177	116	536
178	116	534
179	116	531
180	116	528
181	117	526
182	117	523
183	117	521
184	117	518
185	117	516
186	118	513
187	118	511
188	118	509
189	118	506
190	119	504
191	119	502
192	119	499
193	119	497
194	119	495
195	120	492
196	120	490
197	120	488
198	120	486
199	121	484
200	121	481
201	121	479
202	121	477
203	121	475
204	122	473
205	122	471
206	122	469
207	122	467
208	122	465
209	123	463
210	123	461
211	123	459
212	123	457
213	124	455
214	124	453
215	124	451
216	124	449
217	124	448
218	125	446
219	125	444
220	125	442
221	125	440
222	125	438
223	126	437
224	126	435
225	126	433
226	126	431
227	127	430
228	127	428
229	127	426
230	127	425
231	127	423
232	128	421
233	128	420
234	128	418
235	128	416
236	129	415
237	129	413
238	129	412
239	129	410
240	129	408
241	130	407
242	130	405
243	130	404
244	130	402
245	130	401
246	131	399
247	131	398
248	131	396
249	131	395
250	131	393
251	132	392
252	132	391
253	132	389
254	132	388
255	133	386
256	133	385
257	133	384
258	133	382
259	133	381
260	134	380
261	134	378
262	134	377
263	134	375
264	135	374
265	135	373
266	135	372
267	135	370
268	135	369
269	136	368
270	136	366
271	136	365
272	136	364
273	137	363
274	137	361
275	137	360
276	137	359
277	137	358
278	138	357
279	138	355
280	138	354
281	138	353
282	139	352
283	139	350
284	139	349
285	139	348
286	139	347
287	140	346
288	140	345
289	140	343
290	140	342
291	140	341
292	141	340
293	141	339
294	141	338
295	141	337
296	142	336
297	142	335
298	142	333
299	142	332
300	142	331
301	143	330
302	143	329
303	143	328
304	143	327
305	143	326
306	144	325
307	144	324
